Log file created at: 2019/01/07 17:55:50
Running on machine: A01-R06-I7-231-J33GRGY
Binary: Built with gc go1.11.1 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0107 17:55:50.797753    9981 init.go:88] 

Dgraph version   : v1.0.11
Commit SHA-1     : b2a09c5b
Commit timestamp : 2018-12-17 09:50:56 -0800
Branch           : HEAD
Go version       : go1.11.1

For Dgraph official documentation, visit https://docs.dgraph.io.
For discussions about Dgraph     , visit https://discuss.dgraph.io.
To say hi to the community       , visit https://dgraph.slack.com.

Licensed variously under the Apache Public License 2.0 and Dgraph Community License.
Copyright 2015-2018 Dgraph Labs, Inc.


I0107 17:55:50.798679    9981 run.go:98] Setting up grpc listener at: 0.0.0.0:5080
I0107 17:55:50.798985    9981 run.go:98] Setting up http listener at: 0.0.0.0:6080
I0107 17:55:51.922493    9981 node.go:151] Setting raft.Config to: &{ID:1 peers:[] learners:[] ElectionTick:100 HeartbeatTick:1 Storage:0xc0004f8960 Applied:0 MaxSizePerMsg:1048576 MaxInflightMsgs:256 CheckQuorum:false PreVote:true ReadOnlyOption:0 Logger:0x1f94370 DisableProposalForwarding:false}
I0107 17:55:51.923179    9981 node.go:281] Found hardstate: {Term:3 Vote:1 Commit:184320 XXX_unrecognized:[]}
I0107 17:55:52.088142    9981 node.go:290] Group 0 found 184321 entries
I0107 17:55:52.088204    9981 raft.go:398] Restarting node for dgraphzero
I0107 17:55:52.088371    9981 node.go:83] 1 became follower at term 3
I0107 17:55:52.088491    9981 node.go:83] newRaft 1 [peers: [], term: 3, commit: 184320, applied: 0, lastindex: 184320, lastterm: 3]
I0107 17:55:52.088664    9981 run.go:265] Running Dgraph Zero...
I0107 17:55:53.687227    9981 node.go:83] 1 no leader at term 3; dropping index reading msg
I0107 17:55:53.688167    9981 node.go:173] Setting conf state to nodes:1 
I0107 17:55:53.688419    9981 raft.go:596] Done applying conf change at 1
I0107 17:55:55.968855    9981 node.go:83] 1 is starting a new election at term 3
I0107 17:55:55.968912    9981 node.go:83] 1 became pre-candidate at term 3
I0107 17:55:55.968984    9981 node.go:83] 1 received MsgPreVoteResp from 1 at term 3
I0107 17:55:55.969130    9981 node.go:83] 1 became candidate at term 4
I0107 17:55:55.969153    9981 node.go:83] 1 received MsgVoteResp from 1 at term 4
I0107 17:55:55.969334    9981 node.go:83] 1 became leader at term 4
I0107 17:55:55.969361    9981 node.go:83] raft.node: 1 elected leader 1 at term 4
I0107 17:55:55.970037    9981 raft.go:613] I've become the leader, updating leases.
I0107 17:55:55.970098    9981 assign.go:44] Updated Lease id: 1843150001. Txn Ts: 10001
W0107 17:55:56.088896    9981 node.go:550] [1] Read index context timed out
I0107 23:46:05.032186    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0107 23:46:05.040578    9981 zero.go:386] Connected: cluster_info_only:true 
I0107 23:46:05.041902    9981 zero.go:368] Got connection request: addr:"10.237.7.230:7083" 
I0107 23:46:05.055266    9981 pool.go:140] CONNECTED to 10.237.7.230:7083
I0107 23:46:05.061398    9981 zero.go:495] Connected: id:1 group_id:1 addr:"10.237.7.230:7083" 
I0107 23:46:08.787786    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0107 23:46:08.787949    9981 zero.go:386] Connected: cluster_info_only:true 
I0107 23:47:03.277390    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0107 23:47:03.277536    9981 zero.go:386] Connected: cluster_info_only:true 
I0107 23:47:03.278395    9981 zero.go:368] Got connection request: addr:"10.237.7.232:7083" 
I0107 23:47:03.287383    9981 pool.go:140] CONNECTED to 10.237.7.232:7083
I0107 23:47:03.287963    9981 zero.go:495] Connected: id:2 group_id:1 addr:"10.237.7.232:7083" 
I0107 23:47:34.838266    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0107 23:47:34.838481    9981 zero.go:386] Connected: cluster_info_only:true 
I0107 23:47:34.839146    9981 zero.go:368] Got connection request: addr:"10.237.7.231:7083" 
I0107 23:47:34.840698    9981 pool.go:140] CONNECTED to 10.237.7.231:7083
I0107 23:47:34.856592    9981 zero.go:495] Connected: id:3 group_id:1 addr:"10.237.7.231:7083" 
E0108 00:06:15.055184    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:06:15.281115    9981 pool.go:217] Connection established with 10.237.7.230:7083
I0108 00:06:15.381244    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:06:15.381621    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 00:06:39.028148    9981 oracle.go:103] Purged below ts:10707, len(o.commits):11, len(o.rowCommit):295193
I0108 00:06:42.913256    9981 raft.go:552] Writing snapshot at index: 184373, applied mark: 184389
I0108 00:06:49.909869    9981 oracle.go:103] Purged below ts:11513, len(o.commits):1, len(o.rowCommit):47035
E0108 00:07:28.287863    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:07:28.633427    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:07:40.840998    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:07:40.890942    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 00:07:56.287682    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:07:56.288135    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:07:59.287762    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:07:59.632477    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:08:44.287804    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:08:45.215546    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:09:25.055118    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:09:25.063818    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 00:10:26.841003    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:10:27.200177    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 00:10:37.287654    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:10:37.878453    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:10:54.287637    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:10:54.923000    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 00:11:15.523322    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:11:15.524015    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 00:11:35.841041    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:11:35.975869    9981 pool.go:217] Connection established with 10.237.7.231:7083
I0108 00:11:36.075589    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:11:36.075792    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 00:11:45.841006    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:11:45.946182    9981 pool.go:217] Connection established with 10.237.7.231:7083
I0108 00:11:48.324480    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:11:48.324820    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 00:11:56.287802    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:11:58.289408    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 00:11:58.389819    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:11:58.390230    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 00:12:04.287783    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:12:04.363278    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 00:12:08.578319    9981 oracle.go:103] Purged below ts:11727, len(o.commits):2, len(o.rowCommit):73709
E0108 00:12:40.287595    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:12:40.343690    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:12:47.287726    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:12:47.395872    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:13:50.841116    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:13:51.134928    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 00:27:38.055074    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:27:38.189104    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 00:36:09.287626    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:36:09.418937    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:42:11.287823    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:42:11.288572    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:45:13.287661    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:45:13.541547    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 00:47:51.458946    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:47:51.459243    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 00:48:33.876582    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:48:33.876967    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 00:49:07.287680    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:49:07.987350    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 00:49:11.549017    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:49:11.549230    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 00:49:15.920074    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:49:15.920375    9981 zero.go:386] Connected: cluster_info_only:true 
